"Iteration","C_L Monitor: C_L Monitor"
1.0,0.020743687667428384
2.0,-0.01584393984817225
3.0,-0.04434174058916555
4.0,-0.024173055291775054
5.0,-0.0020472942227600668
6.0,0.027045541790898076
7.0,0.02575685661633967
8.0,0.0207923919716352
9.0,0.0037154143154953362
10.0,0.0020205094100592047
11.0,-0.002965506400930513
12.0,-0.004660291385102281
13.0,-0.004300668821146441
14.0,-0.0026463113193359034
15.0,-3.8678055158178316E-4
16.0,0.0017274208107180308
17.0,0.0032220818525041306
18.0,0.003834549736838322
19.0,0.003786590289384579
20.0,0.003244554441504314
21.0,0.002370260093172461
22.0,0.0015456122017379473
23.0,9.282734840468765E-4
24.0,6.012251528332927E-4
25.0,5.481014467410145E-4
26.0,7.891986453208269E-4
27.0,0.0010387543491860451
28.0,0.001565704976308059
29.0,0.00169428882365723
30.0,0.001788728281087562
31.0,0.001875893703392643
32.0,0.001956457548893823
33.0,0.0020284223675807985
34.0,0.002241570897994929
35.0,0.0025069865633366843
36.0,0.002730514125404096
37.0,0.002968839082280634
38.0,0.003132473324006078
39.0,0.0033040499672572173
40.0,0.0033782963972124247
41.0,0.0034723483000626706
42.0,0.003457972411468802
43.0,0.003396409791877878
44.0,0.003362763379740359
45.0,0.0033859183719401223
46.0,0.003460636225470573
47.0,0.003586638665116967
48.0,0.003718676601063778
49.0,0.0038505076197807363
50.0,0.003949307941664482
51.0,0.004008145704004575
52.0,0.004014345798702052
53.0,0.003997495933639586
54.0,0.0039603499305349505
55.0,0.003913354465426973
56.0,0.003831209936883544
57.0,0.003698903622187753
58.0,0.0035121817535440614
59.0,0.003296136439681125
60.0,0.003041332260917773
61.0,0.002771711651514214
62.0,0.00247472585955447
63.0,0.002096765919382644
64.0,0.0016101973033304513
65.0,0.0010423084075447879
66.0,4.013792296663057E-4
67.0,-4.0309897870346604E-4
68.0,-0.0013430102747826744
69.0,-0.0023575514720011424
70.0,-0.0033294942849322637
71.0,-0.00412188644012244
72.0,-0.0046857246551340395
73.0,-0.004980646960334492
74.0,-0.004946292467944399
75.0,-0.004582617607200897
76.0,-0.003937887770415226
77.0,-0.0031739558731141418
78.0,-0.002444041442511115
79.0,-0.0017945259182014595
80.0,-0.0012977815484473097
81.0,-0.0010566946211633902
82.0,-0.0011010605837058333
83.0,-0.0013842686709757421
84.0,-0.0017057580201106084
85.0,-0.0020338549841684176
86.0,-0.002325721395700292
87.0,-0.0025258780592659225
88.0,-0.0026585435852545178
89.0,-0.0026697257764751133
90.0,-0.002640339962666529
91.0,-0.0026925810559262275
92.0,-0.0027964593542523404
93.0,-0.0029932883735819117
94.0,-0.0033197491252016584
95.0,-0.0036912155690933825
96.0,-0.004210715236791729
97.0,-0.004811916005639629
98.0,-0.005462750334738715
99.0,-0.00622864931482415
100.0,-0.007040738299475132
101.0,-0.00777767785316563
102.0,-0.00849381240587911
103.0,-0.009195677670899464
104.0,-0.009723318821558751
105.0,-0.010343808748536907
106.0,-0.011068039546435636
107.0,-0.01187754117021993
108.0,-0.01233491867358477
109.0,-0.012108072373120234
110.0,-0.011273265047121814
111.0,-0.010032986169840986
112.0,-0.00860592801706314
113.0,-0.007409133604358123
114.0,-0.006189237337464601
115.0,-0.00548384524143096
116.0,-0.005123199329638856
117.0,-0.00504714849801069
118.0,-0.005163981663738988
119.0,-0.005367876204763875
120.0,-0.005620081292686658
121.0,-0.005981670443408648
122.0,-0.006440896100849784
123.0,-0.006944573877198356
124.0,-0.0075292706899824785
125.0,-0.008226202689236666
126.0,-0.009131207988956466
127.0,-0.01014452114499593
