"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Pressure (Pa)"
null,null,0.49206702,-12167.33274464623
null,null,0.50793298,-11694.944613247988
null,null,0.52379096,-11230.440281276764
null,null,0.53962498,-10773.254036947266
null,null,0.5554191,-10335.730059956844
null,null,0.57115742,-9882.589334642256
null,null,0.58682409,-9484.771077922896
null,null,0.60240333,-8980.250292005921
null,null,0.61787947,-8153.820654554448
null,null,0.63323691,-7920.735145011662
null,null,0.64846019,-7490.336751430081
null,null,0.66353398,-7125.088793010225
null,null,0.67844311,-6474.413545827456
null,null,0.69317256,-5809.031092409745
null,null,0.70770751,-5721.909652889354
null,null,0.72203331,-5086.961611918967
null,null,0.73613554,-4445.25130453407
null,null,0.75,-4254.122089584122
null,null,0.76361273,-4141.823266686085
null,null,0.77696003,-3379.6289964685984
null,null,0.79002845,-2461.087118352193
null,null,0.80280484,-2584.1865500327654
null,null,0.81527633,-2644.601481213369
null,null,0.82743037,-1636.5787495484874
null,null,0.83925471,-633.7906631360689
null,null,0.85073744,-86.2467043519928
null,null,0.86186702,629.4244395528893
null,null,0.87263222,1665.8358618450459
null,null,0.88302222,2586.1618219844436
null,null,0.89302655,2290.339286104096
null,null,0.90263513,403.51389638203227
null,null,0.91183829,-304.6176509971211
null,null,0.92062677,1235.4837443627944
null,null,0.92899171,3810.6540576517673
null,null,0.93692469,5709.764334557003
null,null,0.94441772,6706.861613726424
null,null,0.95146327,7581.114349763602
null,null,0.95805423,8801.917125927472
null,null,0.96418397,10011.893860204242
null,null,0.96984631,10011.893860204242
null,null,0.97503556,11031.355767648454
null,null,0.97974649,11031.355767648454
null,null,0.98397435,9729.412165743051
null,null,0.98771489,6860.2154709302895
null,null,0.99096435,6860.2154709302895
null,null,0.99371944,6860.2154709302895
null,null,0.99597741,10150.052735982474
null,null,0.99773596,10150.052735982474
null,null,0.99899334,10150.052735982474
null,null,0.99974827,10150.052735982474
null,null,1.0,11776.70687280166
null,null,0.99974827,11776.70687280166
null,null,0.99899334,11776.70687280166
null,null,0.99773596,11776.70687280166
null,null,0.99597741,11776.70687280166
null,null,0.99371944,8279.47841829307
null,null,0.99096435,8279.47841829307
null,null,0.98771489,8279.47841829307
null,null,0.98397435,8279.47841829307
null,null,0.97974649,8341.188952570546
null,null,0.97503556,8341.188952570546
null,null,0.96984631,7131.080370127247
null,null,0.96418397,7131.080370127247
null,null,0.95805423,5997.98802372565
null,null,0.95146327,3646.547766528311
null,null,0.94441772,2356.3063194864853
null,null,0.93692469,3568.080874989694
null,null,0.92899171,4496.735900603769
null,null,0.92062677,3480.9634903837846
null,null,0.91183829,1824.071776526072
null,null,0.90263513,868.4646145823403
null,null,0.89302655,1471.0826311851847
null,null,0.88302222,1846.1352667224112
null,null,0.87263222,917.9030175056424
null,null,0.86186702,-188.82201481628243
null,null,0.85073744,-792.7779263687728
null,null,0.83925471,-1008.9031995764556
null,null,0.82743037,-1672.138495537571
null,null,0.81527633,-2920.7047708491395
null,null,0.80280484,-3381.4758463634907
null,null,0.79002845,-2952.897361156961
null,null,0.77696003,-3283.5043414909164
null,null,0.76361273,-3853.7845227279695
null,null,0.75,-4181.463103918881
null,null,0.73613554,-4611.177804210831
null,null,0.72203331,-5547.237652207152
null,null,0.70770751,-5453.42978077981
null,null,0.69317256,-6214.064392673367
null,null,0.67844311,-6693.288550641428
null,null,0.66353398,-7101.545004378442
null,null,0.64846019,-7622.683767492508
null,null,0.63323691,-7803.968898022294
null,null,0.61787947,-8231.020106301175
null,null,0.60240333,-9126.99674268115
null,null,0.58682409,-9453.477534065532
null,null,0.57115742,-9958.880709402709
null,null,0.5554191,-10370.078703975845
null,null,0.53962498,-10821.92324879904
null,null,0.52379096,-11271.13651923932
null,null,0.50793298,-11737.628600899003
null,null,0.49206702,-12209.145990481507
null,null,0.47620904,-12686.81476166451
null,null,0.46037502,-13168.051353575825
null,null,0.4445809,-13651.820817953498
null,null,0.42884258,-14135.977536834125
null,null,0.41317591,-14621.406344336912
null,null,0.39759667,-15107.089925538521
null,null,0.38212053,-15590.592256790118
null,null,0.36676309,-16069.978101065994
null,null,0.35153981,-16545.6291318349
null,null,0.33646602,-17016.271014361675
null,null,0.32155689,-17478.93607857388
null,null,0.30682744,-17933.420781773948
null,null,0.29229249,-18383.050104559006
null,null,0.27796669,-18866.951139775538
null,null,0.26386446,-19200.22029404229
null,null,0.25,-19529.714953696795
null,null,0.23638727,-19961.845177627452
null,null,0.22303997,-20342.965042439635
null,null,0.20997155,-20673.49417794674
null,null,0.19719516,-20973.35467524044
null,null,0.18472367,-21256.017684590453
null,null,0.17256963,-21509.196939247864
null,null,0.16074529,-21719.77944914036
null,null,0.14926256,-21896.31076352432
null,null,0.13813298,-22053.60516547591
null,null,0.12736778,-22134.682697953027
null,null,0.11697778,-22153.302187020752
null,null,0.10697345,-22161.809301166402
null,null,0.09736487,-22089.326464390004
null,null,0.08816171,-21880.447179017046
null,null,0.07937323,-21486.86027790455
null,null,0.07100829,-21117.447623250035
null,null,0.06307531,-20947.34904152976
null,null,0.05558228,-20657.17541724346
null,null,0.04853673,-18919.734816339882
null,null,0.04194577,-17821.694936666245
null,null,0.03581603,-16614.999862958128
null,null,0.03015369,-14875.681146239787
null,null,0.02496444,-12556.065666322469
null,null,0.02025351,-9585.897692899947
null,null,0.01602565,-5797.038415246422
null,null,0.01228511,-905.1983431255139
null,null,0.00903565,5636.706721217705
null,null,0.00628056,12970.583125917572
null,null,0.0040225899999999995,21106.226176029682
null,null,0.00226404,36260.466317773215
null,null,0.00100666,51541.848982571864
null,null,2.517299999999999E-4,51448.61684805979
null,null,0.0,51901.717105113144
null,null,2.5173000000000003E-4,51805.67433101456
null,null,0.00100666,51901.717105113144
null,null,0.00226404,37182.298640338326
null,null,0.00402259,22113.68708866984
null,null,0.006280560000000001,13860.575844279387
null,null,0.00903565,6478.649662802591
null,null,0.01228511,-109.98256430062322
null,null,0.01602565,-5059.159036194415
null,null,0.02025351,-8889.480936160251
null,null,0.02496444,-11903.456457051023
null,null,0.03015369,-14272.45799354621
null,null,0.03581603,-16064.109403532877
null,null,0.04194577,-17311.572896793004
null,null,0.04853673,-18436.294261237035
null,null,0.05558228,-20222.689000922346
null,null,0.06307531,-20547.0355948902
null,null,0.07100829,-20746.474107191923
null,null,0.07937323,-21148.17816179337
null,null,0.08816171,-21559.789811162307
null,null,0.09736487,-21800.9730977032
null,null,0.10697345,-21896.801895332155
null,null,0.11697778,-21915.349657300754
null,null,0.12736778,-21893.39391793322
null,null,0.13813298,-21818.439157963792
null,null,0.14926256,-21691.072559284126
null,null,0.16074529,-21529.160979283857
null,null,0.17256963,-21332.186731582377
null,null,0.18472367,-21101.6086067389
null,null,0.19719516,-20827.878588066833
null,null,0.20997155,-20531.874278629843
null,null,0.22303997,-20203.76896127154
null,null,0.23638727,-19847.198505918914
null,null,0.25,-19425.293635229013
null,null,0.26386446,-19095.57989430926
null,null,0.27796669,-18770.067545048103
null,null,0.29229249,-18292.70466161405
null,null,0.30682744,-17848.598060043023
null,null,0.32155689,-17399.878417691165
null,null,0.33646602,-16943.30720672047
null,null,0.35153981,-16478.381109308084
null,null,0.36676309,-16006.703900834176
null,null,0.38212053,-15532.083326808202
null,null,0.39759667,-15053.214985452652
null,null,0.41317591,-14570.134566355118
null,null,0.42884258,-14086.943953526765
null,null,0.4445809,-13604.90397104018
null,null,0.46037502,-13123.27490940171
null,null,0.47620904,-12643.877278461852
