Velocity Table: X (m),Velocity Table: Y (m),"Wing Probe: Direction [1,0,0] (m)",Wing Probe: Absolute Pressure (Pa)
0.49206702,0.0533601,0.49206702,89142.92556
0.50793298,0.05234889,0.50793298,89619.6599
0.52379096,0.05128347,0.52379096,90095.4131
0.53962498,0.05016745,0.53962498,90570.66626
0.5554191,0.04900448,0.5554191,91040.31642
0.57115742,0.04779817,0.57115742,91508.24193
0.58682409,0.04655211,0.58682409,91975.64538
0.60240333,0.04526984,0.60240333,92437.95139
0.61787947,0.04395487,0.61787947,92898.56318
0.63323691,0.04261068,0.63323691,93328.67311
0.64846019,0.04124066,0.64846019,93792.31916
0.66353398,0.0398482,0.66353398,94244.51808
0.67844311,0.0384366,0.67844311,94706.06172
0.69317256,0.03700913,0.69317256,95160.84798
0.70770751,0.03556902,0.70770751,95598.56081
0.72203331,0.03411944,0.72203331,96061.85749
0.73613554,0.03266353,0.73613554,96539.96978
0.75,0.03120439,0.75,96955.61783
0.76361273,0.0297451,0.76361273,97477.94442
0.77696003,0.02828869,0.77696003,97893.82301
0.79002845,0.0268382,0.79002845,98306.42279
0.80280484,0.02539661,0.80280484,98819.67313
0.81527633,0.02396693,0.81527633,99290.56685
0.82743037,0.02255211,0.82743037,99762.99107
0.83925471,0.02115513,0.83925471,100253.674
0.85073744,0.01977893,0.85073744,100753.008
0.86186702,0.01842646,0.86186702,101255.6731
0.87263222,0.01710064,0.87263222,101762.8191
0.88302222,0.01580439,0.88302222,102286.1895
0.89302655,0.0145406,0.89302655,102825.3654
0.90263513,0.01331215,0.90263513,103372.2593
0.91183829,0.01212187,0.91183829,103931.6554
0.92062677,0.01097258,0.92062677,104500.4305
0.92899171,0.00986703,0.92899171,105089.3614
0.93692469,0.00880793,0.93692469,105681.8167
0.94441772,0.00779793,0.94441772,106279.84
0.95146327,0.00683958,0.95146327,106878.4093
0.95805423,0.00593537,0.95805423,107629.1468
0.96418397,0.00508767,0.96418397,108622.309
0.96984631,0.00429874,0.96984631,108622.309
0.97503556,0.00357073,0.97503556,109620.6026
0.97974649,0.00290565,0.97974649,109620.6026
0.98397435,0.00230534,0.98397435,110622.1538
0.98771489,0.00177151,0.98771489,111749.8
0.99096435,0.00130567,0.99096435,111749.8
0.99371944,9.09E-04,0.99371944,111749.8
0.99597741,5.83E-04,0.99597741,112919.891
0.99773596,3.29E-04,0.99773596,112919.891
0.99899334,1.46E-04,0.99899334,112919.891
0.99974827,3.66E-05,0.99974827,112919.891
1,-1.36E-20,1,112506.9829
