"Iteration","C_L Monitor: C_L Monitor"
1.0,0.009830256518439953
2.0,-0.08612908039454681
3.0,-0.08140440575409341
4.0,-0.10717730666962422
5.0,-0.1269853449933257
6.0,-0.07808542804320885
7.0,-0.025685384646852008
8.0,0.08619167195984466
9.0,0.08122787660431227
10.0,0.04549719534705087
11.0,0.02841120319862424
12.0,0.0026100865708275313
13.0,-0.009486341936758192
14.0,-0.016766546793428698
15.0,-0.025399884847155878
16.0,-0.03741921882212423
17.0,-0.04211865221551867
18.0,-0.04764416088620324
19.0,-0.04804890648718882
20.0,-0.04529808052519278
21.0,-0.040289485001064586
22.0,-0.03464226543224851
23.0,-0.02911810406717757
24.0,-0.024241894768378527
25.0,-0.020177211603850175
26.0,-0.0186279178465486
27.0,-0.017695317090802794
28.0,-0.017518898263830917
29.0,-0.01777807143994899
30.0,-0.01819621359072135
31.0,-0.018259480557249935
32.0,-0.018098584868953348
33.0,-0.01764439769077554
34.0,-0.016851311999822757
35.0,-0.01573686184091955
36.0,-0.014341124031823214
37.0,-0.01214567333041615
38.0,-0.010546378209280277
39.0,-0.009431518367243394
40.0,-0.008780937857230588
41.0,-0.008522929861433772
42.0,-0.008451624952006529
43.0,-0.008398417509989204
44.0,-0.008369941913196349
45.0,-0.008571411278237904
46.0,-0.00897536254576941
47.0,-0.00927827086039611
48.0,-0.009697930591715923
49.0,-0.01004411796893376
50.0,-0.010288024504557097
51.0,-0.010428046854892563
52.0,-0.010267940272906145
53.0,-0.009889233229008889
54.0,-0.009421756573090214
55.0,-0.008765737873708719
56.0,-0.007904462829216566
57.0,-0.0068919705212389624
58.0,-0.005601716941011653
59.0,-0.0047012182483122476
60.0,-0.004023027512875624
61.0,-0.0035347426054337778
62.0,-0.003201893191278605
63.0,-0.0029758990005623724
64.0,-0.0028094452115058235
65.0,-0.002681714262938752
66.0,-0.002576057840469427
67.0,-0.002497307530217298
68.0,-0.0024480435934758076
69.0,-0.0024564344422070106
70.0,-0.0025310755876176436
71.0,-0.002654474175195245
72.0,-0.0028507875284536992
73.0,-0.0031207399729122945
74.0,-0.0034462375188992586
75.0,-0.003811881521684837
76.0,-0.004189994737684322
77.0,-0.004589728240839549
78.0,-0.004963645680243137
79.0,-0.005300640466627047
80.0,-0.005627749225796596
81.0,-0.005942485351935796
82.0,-0.006253864843418437
83.0,-0.006552874035696528
84.0,-0.00683540788169866
85.0,-0.007112826457897364
86.0,-0.007387458311224672
87.0,-0.007629507269404983
88.0,-0.007870748414375107
89.0,-0.00812171059007727
90.0,-0.008380838862246975
91.0,-0.008658294546363427
92.0,-0.008907542412849816
93.0,-0.00913030516695839
94.0,-0.009327478388500022
95.0,-0.009495097110658796
96.0,-0.009638335135427788
97.0,-0.009757653067586471
98.0,-0.009844696785893432
99.0,-0.009901040534939804
100.0,-0.009926359943750834
101.0,-0.009937775475822443
102.0,-0.009940102825538937
103.0,-0.00993408354768825
104.0,-0.009927574777331073
105.0,-0.009887606733693556
106.0,-0.009876481247424405
107.0,-0.009817048772226738
108.0,-0.009782403765272155
109.0,-0.00966746316850633
110.0,-0.009631131444736383
111.0,-0.009521238118958615
112.0,-0.009463965129048792
113.0,-0.009299363349972693
114.0,-0.00925920318954527
115.0,-0.009101944150808762
116.0,-0.009047543538956383
117.0,-0.0088649113542092
118.0,-0.008799874456203107
119.0,-0.008584813984968132
120.0,-0.00849553360189601
121.0,-0.008231725019909384
122.0,-0.008126741286380877
123.0,-0.007816366512881395
124.0,-0.0076972047347458284
125.0,-0.007353597298182716
126.0,-0.0072250513727176524
127.0,-0.006855932672358055
128.0,-0.006723912008031587
129.0,-0.0063370900006109844
130.0,-0.006199776344433236
131.0,-0.005798559086373282
132.0,-0.005659165878180209
133.0,-0.005250729538174235
134.0,-0.005108739184177006
135.0,-0.004700804140588477
136.0,-0.004558137417395168
137.0,-0.004153518471432158
138.0,-0.004015612079660332
139.0,-0.003621571919707089
140.0,-0.0034901221122594114
141.0,-0.0031006878501868957
142.0,-0.002976677274224208
143.0,-0.0025879876226657522
144.0,-0.002467276069324415
145.0,-0.002078211489692215
146.0,-0.0019561214043242905
147.0,-0.0015705431015243106
148.0,-0.0014465707043300343
149.0,-0.0010579590807744679
150.0,-8.5916189911898E-4
151.0,-6.294412361554347E-4
152.0,-3.841372089841883E-4
153.0,-1.3031841916199668E-4
154.0,1.2089857859255553E-4
155.0,3.607793617064084E-4
156.0,5.965936671362057E-4
157.0,8.133951041714508E-4
158.0,0.0010129318844280858
159.0,0.0011954865280138615
160.0,0.0013617704739208832
161.0,0.0015125954967136622
162.0,0.0016489789320672371
163.0,0.0017721362866643551
164.0,0.0018826111577482834
165.0,0.001979811778222911
166.0,0.00206430942242675
167.0,0.002155278176458354
168.0,0.002197567997985958
169.0,0.002238891846809567
170.0,0.0022782487410413508
171.0,0.0023126330370452546
172.0,0.0023386556422464893
173.0,0.0023573965348165434
174.0,0.002368976393319365
175.0,0.0023754157789576606
176.0,0.0023807855666591582
177.0,0.0023831648958927334
178.0,0.0023843219964333204
179.0,0.0023867910527231914
180.0,0.0023915533869640656
181.0,0.002399051121828086
182.0,0.0024090797746984436
183.0,0.0024206633530138213
184.0,0.00243168055245813
185.0,0.002445951469286397
186.0,0.0024538851322552365
187.0,0.0024601102583757983
188.0,0.0024597498748276845
189.0,0.0024505810930033796
190.0,0.0024387694966491436
191.0,0.0024088574777119563
192.0,0.0023723650440469345
193.0,0.0023304375222960275
194.0,0.002281312801023087
195.0,0.002226834803221362
196.0,0.002168046306935604
197.0,0.0021072743013312873
198.0,0.002045830714828144
199.0,0.001985314498716173
200.0,0.0019270008782965413
201.0,0.001872335851254714
202.0,0.0018227895954829206
203.0,0.0017788787814728027
204.0,0.0017393835329506612
205.0,0.0017038722887090395
206.0,0.0016720862367499666
207.0,0.001643909272646487
208.0,0.0016186364920828802
209.0,0.0015960744728679105
210.0,0.0015757930050032537
211.0,0.0015565337536969368
212.0,0.001537180941402701
213.0,0.001516898016061785
214.0,0.001494887539959146
215.0,0.0014704509396577246
216.0,0.001443994452846007
217.0,0.001416284161176083
218.0,0.0013883438922498868
219.0,0.001360730493284832
220.0,0.0013337250203625502
221.0,0.0013080318756596555
222.0,0.0012841030106842395
223.0,0.0012624057964010045
224.0,0.0012433938727769358
225.0,0.0012275139438283483
226.0,0.001214718194011974
227.0,0.0012053259221159142
228.0,0.0011990567432745888
229.0,0.0011955938262553506
230.0,0.0011946312065579355
231.0,0.0011961184521015297
232.0,0.0011992863397074537
233.0,0.0012033083907243278
234.0,0.0012081899711893804
235.0,0.0012132645152239782
236.0,0.0012179401937459937
237.0,0.001221951827103566
238.0,0.0012255373439011357
239.0,0.0012290159947545326
240.0,0.001232402291920026
241.0,0.0012357858716693197
242.0,0.001239076555358719
243.0,0.0012422466904147842
244.0,0.0012452922030978823
245.0,0.0012485197310276603
246.0,0.0012524267250680705
247.0,0.0012572457211125104
248.0,0.0012630191427585994
249.0,0.0012697109407280624
250.0,0.0012774065553650443
251.0,0.0012863603961249211
252.0,0.0012966033143640434
253.0,0.0013080809419558272
254.0,0.001320745099875037
255.0,0.0013346008852572126
256.0,0.0013491012212948656
257.0,0.0013637005817954582
258.0,0.0013779023627216516
259.0,0.001391419629946924
260.0,0.0014039896066357059
261.0,0.0014157620169672244
262.0,0.0014264178310752608
263.0,0.0014356049137333139
264.0,0.0014431338504543108
265.0,0.0014493186425949774
266.0,0.001454584059604061
267.0,0.0014593410677320817
268.0,0.0014639691135385161
269.0,0.0014688092685218451
270.0,0.0014741841134636193
271.0,0.0014800634349373086
272.0,0.001486659173104179
273.0,0.0014940392761908937
274.0,0.0015021628063095203
275.0,0.0015107912886462931
276.0,0.0015196001700503177
277.0,0.0015283063692089552
278.0,0.0015365433142572518
279.0,0.0015438897756312265
280.0,0.0015503070888931358
281.0,0.001555676356946796
282.0,0.0015599378045038118
283.0,0.0015629336621182882
284.0,0.001564812371436306
285.0,0.0015659184529215066
286.0,0.0015661393064174236
287.0,0.0015657528804279897
288.0,0.001565246356772979
289.0,0.0015648134018453076
290.0,0.0015646214571966475
291.0,0.0015646152131411069
292.0,0.001564998694199307
293.0,0.0015657811893492726
294.0,0.0015668574498440664
295.0,0.0015681991823945612
296.0,0.0015697092714764657
297.0,0.001571101556896887
298.0,0.0015721904733847054
299.0,0.0015728863798245083
300.0,0.0015731518943215405
301.0,0.0015729045845987082
302.0,0.0015721291344658812
303.0,0.0015708472891546694
304.0,0.0015690802189731207
305.0,0.0015668960890851534
306.0,0.001564458938711359
307.0,0.0015619139192247639
308.0,0.0015594247707975497
309.0,0.001557081590114379
310.0,0.00155417061243781
311.0,0.0015534344255328351
312.0,0.0015512325398804577
313.0,0.0015507341315088498
314.0,0.001549001791219724
315.0,0.0015487997891896117
316.0,0.0015475841400199894
317.0,0.0015475080976885094
318.0,0.0015463475705492996
319.0,0.0015461615484479527
320.0,0.0015447313821274236
321.0,0.001544331531436486
322.0,0.001542488618328284
323.0,0.0015418355184818528
324.0,0.0015395844268992474
325.0,0.0015388031885767866
326.0,0.0015363883492440856
327.0,0.001535672381776278
328.0,0.0015335306640964508
329.0,0.0015329931975184077
330.0,0.0015312473440826121
331.0,0.0015309510644857703
332.0,0.001529772876599001
333.0,0.0015295655895011782
334.0,0.0015291759358887747
335.0,0.0015291872844853706
336.0,0.0015287881806557862
337.0,0.001528691577248534
338.0,0.0015286281630721718
339.0,0.0015284577443146206
340.0,0.0015282819875332445
341.0,0.001527986748726883
342.0,0.0015276737954553177
343.0,0.0015273944891510472
344.0,0.0015270000269792753
345.0,0.0015266751681027593
346.0,0.0015264828108215197
347.0,0.0015262206106378318
348.0,0.0015261231528175005
349.0,0.0015260809461241736
350.0,0.0015261348948416476
351.0,0.0015262449139628823
352.0,0.0015264330322008323
353.0,0.0015266550467605917
354.0,0.0015269206086888686
355.0,0.0015271848795675583
356.0,0.001527459576376455
357.0,0.0015277102341135704
358.0,0.0015279602922855372
359.0,0.0015281842705854734
360.0,0.0015284017600357659
361.0,0.0015285939763002821
362.0,0.0015287926249070896
363.0,0.0015289710494002027
364.0,0.001529176223175361
365.0,0.0015293877886311494
366.0,0.0015296366951491438
367.0,0.0015298970988449772
368.0,0.0015301988621281419
369.0,0.0015304984886523481
370.0,0.001530841614175039
371.0,0.0015311694728786013
372.0,0.001531523816866009
373.0,0.0015318527093074945
374.0,0.0015322046323515675
375.0,0.0015325098630582323
376.0,0.0015328256274721073
377.0,0.0015330854559476622
378.0,0.001533358109199394
379.0,0.0015335822040180658
380.0,0.0015338152955242565
381.0,0.0015340113807894378
382.0,0.0015342211709464034
383.0,0.0015344049274411723
384.0,0.0015346040211521906
385.0,0.0015347885964415128
386.0,0.0015349889446904827
387.0,0.0015351778270816423
388.0,0.0015353824215701807
389.0,0.001535578956612583
390.0,0.0015357863390441874
391.0,0.0015359801425220748
392.0,0.0015361667128142035
393.0,0.0015363457320022062
394.0,0.001536518134140386
395.0,0.0015366656165103597
396.0,0.001536806645840611
397.0,0.0015369310388002634
398.0,0.0015370455620736024
399.0,0.0015371446697328313
400.0,0.001537236927887057
401.0,0.0015373114115025685
402.0,0.0015373842207956538
403.0,0.0015374463125041493
404.0,0.0015375112954626024
