"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Pressure (Pa)"
null,null,0.49206702,-12182.074440019038
null,null,0.50793298,-11705.340097624343
null,null,0.52379096,-11229.586904181415
null,null,0.53962498,-10754.333740257158
null,null,0.5554191,-10284.683577547352
null,null,0.57115742,-9816.758068346233
null,null,0.58682409,-9349.354620097245
null,null,0.60240333,-8887.048614194027
null,null,0.61787947,-8426.436824514087
null,null,0.63323691,-7996.326887289828
null,null,0.64846019,-7532.6808371370425
null,null,0.66353398,-7080.481917886726
null,null,0.67844311,-6618.93827738558
null,null,0.69317256,-6164.152020482718
null,null,0.70770751,-5726.439192599743
null,null,0.72203331,-5263.142509733566
null,null,0.73613554,-4785.030222953126
null,null,0.75,-4369.382171693184
null,null,0.76361273,-3847.055581594267
null,null,0.77696003,-3431.1769903615955
null,null,0.79002845,-3018.577208080353
null,null,0.80280484,-2505.3268741696374
null,null,0.81527633,-2034.433148973833
null,null,0.82743037,-1562.0089299084711
null,null,0.83925471,-1071.3260298123519
null,null,0.85073744,-571.9919537670089
null,null,0.86186702,-69.32688051956275
null,null,0.87263222,437.81914959630296
null,null,0.88302222,961.1895100824684
null,null,0.89302655,1500.36541746443
null,null,0.90263513,2047.2592678376698
null,null,0.91183829,2606.655385145408
null,null,0.92062677,3175.4304853590575
null,null,0.92899171,3764.361413343674
null,null,0.93692469,4356.816722738501
null,null,0.94441772,4954.840048573283
null,null,0.95146327,5553.409252546045
null,null,0.95805423,6304.146801823861
null,null,0.96418397,7297.3090066859395
null,null,0.96984631,7297.3090066859395
null,null,0.97503556,8295.602599373844
null,null,0.97974649,8295.602599373844
null,null,0.98397435,9297.153835818484
null,null,0.98771489,10424.800041527917
null,null,0.99096435,10424.800041527917
null,null,0.99371944,10424.800041527917
null,null,0.99597741,11594.890994279893
null,null,0.99773596,11594.890994279893
null,null,0.99899334,11594.890994279893
null,null,0.99974827,11594.890994279893
