"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity: Magnitude (m/s)"
null,null,0.49206702,139.74458008059386
null,null,0.50793298,137.7930747110601
null,null,0.52379096,135.8694074187599
null,null,0.53962498,134.03226565993927
null,null,0.5554191,132.36823536605158
null,null,0.57115742,130.82849105345218
null,null,0.58682409,129.4634495096616
null,null,0.60240333,128.2059826082646
null,null,0.61787947,127.10050103525329
null,null,0.63323691,126.13140373585945
null,null,0.64846019,124.99282066169178
null,null,0.66353398,123.96347043844239
null,null,0.67844311,122.8101145203013
null,null,0.69317256,121.68309891017422
null,null,0.70770751,120.60374659828445
null,null,0.72203331,119.33491560714688
null,null,0.73613554,117.94205071194071
null,null,0.75,116.73749228181762
null,null,0.76361273,115.60645347962885
null,null,0.77696003,114.61068744627522
null,null,0.79002845,113.34604217829737
null,null,0.80280484,111.92059130301664
null,null,0.81527633,110.74270240883696
null,null,0.82743037,109.53276040645181
null,null,0.83925471,108.25318834770583
null,null,0.85073744,106.9743299138713
null,null,0.86186702,105.71142487725676
null,null,0.87263222,104.41425006711417
null,null,0.88302222,103.02698789981761
null,null,0.89302655,101.58600770149832
null,null,0.90263513,100.10145445709082
null,null,0.91183829,98.55584354819781
null,null,0.92062677,96.90704408941617
null,null,0.92899171,95.153361553207
null,null,0.93692469,93.35869305084162
null,null,0.94441772,91.48453866153076
null,null,0.95146327,89.3790086313223
null,null,0.95805423,86.9727118091063
null,null,0.96418397,83.37035097318686
null,null,0.96984631,83.37035097318686
null,null,0.97503556,78.5055607258495
null,null,0.97974649,78.5055607258495
null,null,0.98397435,69.34968096756863
null,null,0.98771489,52.523063295199115
null,null,0.99096435,52.523063295199115
null,null,0.99371944,52.523063295199115
null,null,0.99597741,49.57595090575582
null,null,0.99773596,49.57595090575582
null,null,0.99899334,49.57595090575582
null,null,0.99974827,49.57595090575582
null,null,1.0,50.46621625714623
null,null,0.99974827,50.46621625714623
null,null,0.99899334,50.46621625714623
null,null,0.99773596,50.46621625714623
null,null,0.99597741,50.46621625714623
null,null,0.99371944,59.881500065044314
null,null,0.99096435,59.881500065044314
null,null,0.98771489,59.881500065044314
null,null,0.98397435,59.881500065044314
null,null,0.97974649,75.44984687549491
null,null,0.97503556,75.44984687549491
null,null,0.96984631,82.16968110230921
null,null,0.96418397,82.16968110230921
null,null,0.95805423,86.6123490428302
null,null,0.95146327,88.9803424694072
null,null,0.94441772,91.207158336103
null,null,0.93692469,93.09512752314913
null,null,0.92899171,94.95123489132247
null,null,0.92062677,96.69698753800196
null,null,0.91183829,98.37216070405606
null,null,0.90263513,99.97919464745932
null,null,0.89302655,101.47677249275469
null,null,0.88302222,102.88329461827384
null,null,0.87263222,104.25991432828803
null,null,0.86186702,105.58576203209705
null,null,0.85073744,106.85301066176906
null,null,0.83925471,108.10297401864759
null,null,0.82743037,109.35414746404061
null,null,0.81527633,110.66210716511468
null,null,0.80280484,111.78980141292294
null,null,0.79002845,112.93265294926033
null,null,0.77696003,114.21035007212915
null,null,0.76361273,115.55716653373796
null,null,0.75,116.66967335874206
null,null,0.73613554,117.6056665223155
null,null,0.72203331,119.1765798311783
null,null,0.70770751,120.41594359279178
null,null,0.69317256,121.43975562558576
null,null,0.67844311,122.68756623377371
null,null,0.66353398,123.76774473685248
null,null,0.64846019,124.81496535149557
null,null,0.63323691,125.80487600311002
null,null,0.61787947,126.89221101971235
null,null,0.60240333,128.01017948886042
null,null,0.58682409,129.2239396032969
null,null,0.57115742,130.56946592248661
null,null,0.5554191,132.0974821108469
null,null,0.53962498,133.75135666011863
null,null,0.52379096,135.58244992307752
null,null,0.50793298,137.47481567019707
null,null,0.49206702,139.4251261763201
null,null,0.47620904,141.34274987701832
null,null,0.46037502,143.13122905465798
null,null,0.4445809,144.7474909860602
null,null,0.42884258,146.19435981683128
null,null,0.41317591,147.55300229078105
null,null,0.39759667,148.97392342155524
null,null,0.38212053,150.5651196134439
null,null,0.36676309,152.40894778968175
null,null,0.35153981,154.49033673566197
null,null,0.33646602,156.71805774326901
null,null,0.32155689,158.9018780204367
null,null,0.30682744,160.84024407084115
null,null,0.29229249,162.31113120455458
null,null,0.27796669,162.87595810412168
null,null,0.26386446,165.30943949620578
null,null,0.25,166.67617190205468
null,null,0.23638727,167.92292553501758
null,null,0.22303997,170.1711433089253
null,null,0.20997155,172.5889218939715
null,null,0.19719516,174.65471747214002
null,null,0.18472367,176.06483599383503
null,null,0.17256963,177.09812579517
null,null,0.16074529,178.3203096159141
null,null,0.14926256,180.2606410890879
null,null,0.13813298,182.9573048301755
null,null,0.12736778,185.64739862015477
null,null,0.11697778,187.4427228857283
null,null,0.10697345,188.64546033254456
null,null,0.09736487,190.16944675460755
null,null,0.08816171,193.21828789941776
null,null,0.07937323,197.11997885913144
null,null,0.07100829,196.95729931300576
null,null,0.06307531,195.96700507029715
null,null,0.05558228,198.08466169918375
null,null,0.04853673,205.33962991344
null,null,0.04194577,206.67182768022764
null,null,0.03581603,204.77459079041702
null,null,0.03015369,205.53111220996968
null,null,0.02496444,205.760329011255
null,null,0.02025351,199.7091647348918
null,null,0.01602565,193.0250227938103
null,null,0.01228511,188.9049055506019
null,null,0.00903565,258.02061667268316
null,null,0.00628056,238.9114039191425
null,null,0.0040225899999999995,215.73519575102168
null,null,0.00226404,156.51032776759018
null,null,0.00100666,31.31014647275377
null,null,2.517299999999999E-4,34.87987860133651
null,null,0.0,30.76392911586464
null,null,2.5173000000000003E-4,34.559644675907634
null,null,0.00100666,30.76392911586464
null,null,0.00226404,156.8467798007524
null,null,0.00402259,216.51833851836759
null,null,0.006280560000000001,239.73979812299393
null,null,0.00903565,258.8365630716038
null,null,0.01228511,189.34834202504513
null,null,0.01602565,193.41182815839608
null,null,0.02025351,200.0745443020192
null,null,0.02496444,206.08186287838868
null,null,0.03015369,205.84730942128417
null,null,0.03581603,205.09618046261724
null,null,0.04194577,206.97113957441755
null,null,0.04853673,205.61484370374077
null,null,0.05558228,198.33883868967257
null,null,0.06307531,196.22661201014728
null,null,0.07100829,197.21374548164607
null,null,0.07937323,197.37103651938008
null,null,0.08816171,193.46190242518912
null,null,0.09736487,190.4105563604916
null,null,0.10697345,188.91789627769617
null,null,0.11697778,187.69858912255475
null,null,0.12736778,185.84434359836263
null,null,0.13813298,183.16846162910903
null,null,0.14926256,180.5172020312703
null,null,0.16074529,178.5892280800948
null,null,0.17256963,177.40129486347755
null,null,0.18472367,176.3733443741119
null,null,0.19719516,174.92684660751328
null,null,0.20997155,172.84788116037166
null,null,0.22303997,170.4619364461784
null,null,0.23638727,168.22879871441575
null,null,0.25,166.9728864762091
null,null,0.26386446,165.61859351561324
null,null,0.27796669,163.20886292065902
null,null,0.29229249,162.63184346603384
null,null,0.30682744,161.15843824510924
null,null,0.32155689,159.21738362869567
null,null,0.33646602,157.03442972227867
null,null,0.35153981,154.81271369771613
null,null,0.36676309,152.74163136279196
null,null,0.38212053,150.9093986184852
null,null,0.39759667,149.3211403694075
null,null,0.41317591,147.90387621392273
null,null,0.42884258,146.54596868018925
null,null,0.4445809,145.08850234961972
null,null,0.46037502,143.48417027756386
null,null,0.47620904,141.66881058883587
