"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[i] (m/s)"
null,null,0.49206702,139.4763802148722
null,null,0.50793298,137.4977382261824
null,null,0.52379096,135.5475588973311
null,null,0.53962498,133.68450001502507
null,null,0.5554191,131.99495801663704
null,null,0.57115742,130.43020140930182
null,null,0.58682409,129.04044069965573
null,null,0.60240333,127.75872585190776
null,null,0.61787947,126.62920067975871
null,null,0.63323691,125.6363304276867
null,null,0.64846019,124.47521393531935
null,null,0.66353398,123.42365717501986
null,null,0.67844311,122.24927451884143
null,null,0.69317256,121.10181453141684
null,null,0.70770751,120.00248726879205
null,null,0.72203331,118.71533348253665
null,null,0.73613554,117.30118859995913
null,null,0.75,116.08331328756354
null,null,0.76361273,114.93497794601255
null,null,0.77696003,113.92152282936726
null,null,0.79002845,112.64156465713646
null,null,0.80280484,111.20221659215063
null,null,0.81527633,110.00958271923298
null,null,0.82743037,108.78572795861159
null,null,0.83925471,107.4932573992223
null,null,0.85073744,106.20211936269955
null,null,0.86186702,104.92748202537965
null,null,0.87263222,103.619513265088
null,null,0.88302222,102.2228408739737
null,null,0.89302655,100.7736360700931
null,null,0.90263513,99.28206008337702
null,null,0.91183829,97.73081475149813
null,null,0.92062677,96.0782172187911
null,null,0.92899171,94.32260161723848
null,null,0.93692469,92.52748553421677
null,null,0.94441772,90.65500894245208
null,null,0.95146327,88.55341469431812
null,null,0.95805423,86.15048621507069
null,null,0.96418397,82.56525169761194
null,null,0.96984631,82.56525169761194
null,null,0.97503556,77.74168343785992
null,null,0.97974649,77.74168343785992
null,null,0.98397435,68.68596628898062
null,null,0.98771489,52.05275802706073
null,null,0.99096435,52.05275802706073
null,null,0.99371944,52.05275802706073
null,null,0.99597741,49.069510556722165
null,null,0.99773596,49.069510556722165
null,null,0.99899334,49.069510556722165
null,null,0.99974827,49.069510556722165
null,null,1.0,50.00375342473528
null,null,0.99974827,50.00375342473528
null,null,0.99899334,50.00375342473528
null,null,0.99773596,50.00375342473528
null,null,0.99597741,50.00375342473528
null,null,0.99371944,59.32641601938899
null,null,0.99096435,59.32641601938899
null,null,0.98771489,59.32641601938899
null,null,0.98397435,59.32641601938899
null,null,0.97974649,74.72613568835173
null,null,0.97503556,74.72613568835173
null,null,0.96984631,81.38838493515787
null,null,0.96418397,81.38838493515787
null,null,0.95805423,85.79274526285558
null,null,0.95146327,88.15846654758666
null,null,0.94441772,90.3801184559553
null,null,0.93692469,92.26624891296335
null,null,0.92899171,94.1222382293087
null,null,0.92062677,95.86991256331494
