"Velocity Table: pending assignment","Velocity Table: pending assignment 2","Wing Probe: Direction [1,0,0] (m)","Wing Probe: Velocity[j] (m/s)"
null,null,0.49206702,-8.653728910586716
null,null,0.50793298,-9.016840966325518
null,null,0.52379096,-9.346397664315509
null,null,0.53962498,-9.648973710675039
null,null,0.5554191,-9.933820619915142
null,null,0.57115742,-10.20081524448822
null,null,0.58682409,-10.457027444705654
null,null,0.60240333,-10.69962360308647
null,null,0.61787947,-10.93539659170238
null,null,0.63323691,-11.16438466927328
null,null,0.64846019,-11.363376818636459
null,null,0.66353398,-11.556074276576412
null,null,0.67844311,-11.723442672972263
null,null,0.69317256,-11.879691813408414
null,null,0.70770751,-12.02774886862069
null,null,0.72203331,-12.144615230421243
null,null,0.73613554,-12.278374451645117
null,null,0.75,-12.341251169504794
null,null,0.76361273,-12.441982586678039
null,null,0.77696003,-12.549753509361937
null,null,0.79002845,-12.617574611489895
null,null,0.80280484,-12.660402150378273
null,null,0.81527633,-12.721550485395307
null,null,0.82743037,-12.77070846790145
null,null,0.83925471,-12.80438991707202
null,null,0.85073744,-12.830319691757385
null,null,0.86186702,-12.85024767829522
null,null,0.87263222,-12.858152580526552
null,null,0.88302222,-12.847219129578864
null,null,0.89302655,-12.821514494836523
null,null,0.90263513,-12.781773352150465
null,null,0.91183829,-12.725649119208065
null,null,0.92062677,-12.647188233233692
null,null,0.92899171,-12.546275902874656
null,null,0.93692469,-12.430204699705206
null,null,0.94441772,-12.291874053904442
null,null,0.95146327,-12.120228128798127
null,null,0.95805423,-11.930897884768513
null,null,0.96418397,-11.55831447497203
null,null,0.96984631,-11.55831447497203
null,null,0.97503556,-10.924912865905178
null,null,0.97974649,-10.924912865905178
null,null,0.98397435,-9.571639632401984
null,null,0.98771489,-7.013027854483144
null,null,0.99096435,-7.013027854483144
null,null,0.99371944,-7.013027854483144
null,null,0.99597741,-7.068100305856092
null,null,0.99773596,-7.068100305856092
null,null,0.99899334,-7.068100305856092
null,null,0.99974827,-7.068100305856092
null,null,1.0,6.816423310749193
null,null,0.99974827,6.816423310749193
null,null,0.99899334,6.816423310749193
null,null,0.99773596,6.816423310749193
null,null,0.99597741,6.816423310749193
null,null,0.99371944,8.134519797399701
null,null,0.99096435,8.134519797399701
null,null,0.98771489,8.134519797399701
null,null,0.98397435,8.134519797399701
null,null,0.97974649,10.425163721576526
null,null,0.97503556,10.425163721576526
null,null,0.96984631,11.304304052074944
null,null,0.96418397,11.304304052074944
null,null,0.95805423,11.887130308860174
null,null,0.95146327,12.065907423440438
null,null,0.94441772,12.254791700981759
null,null,0.93692469,12.395244252635344
null,null,0.92899171,12.51963570126353
null,null,0.92062677,12.620113471235276
null,null,0.91183829,12.702003406237582
null,null,0.90263513,12.766058861620799
null,null,0.89302655,12.807695029276019
null,null,0.88302222,12.829456189003528
null,null,0.87263222,12.839218757064113
null,null,0.86186702,12.83491381129307
null,null,0.85073744,12.815757773480417
null,null,0.83925471,12.786809351233176
null,null,0.82743037,12.750024182626499
null,null,0.81527633,12.711510299961759
null,null,0.80280484,12.645498919776253
null,null,0.79002845,12.57260428348053
null,null,0.77696003,12.506086664051765
null,null,0.76361273,12.436274864095026
null,null,0.75,12.334691896586348
null,null,0.73613554,12.243990583282567
null,null,0.72203331,12.128347935178859
null,null,0.70770751,12.009210393366901
null,null,0.69317256,11.856102502561676
null,null,0.67844311,11.711467914861295
null,null,0.66353398,11.537964563176551
null,null,0.64846019,11.346721824016287
null,null,0.63323691,11.136191316100259
null,null,0.61787947,10.91741024042233
null,null,0.60240333,10.683320305780313
null,null,0.58682409,10.437751922369808
null,null,0.57115742,10.180691855258399
null,null,0.5554191,9.913592507977663
null,null,0.53962498,9.62885178992532
null,null,0.52379096,9.326749161147964
null,null,0.50793298,8.996168747431986
